country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,0.146,0.146,0.147,0.147,0.147,0.148,0.147,0.145,0.144,0.143,0.143,0.145,0.148,0.151,0.154,0.156,0.153,0.149,0.147,0.146,0.146,0.152,0.159,0.167,0.176,0.186,0.193,0.194,0.194,0.195,0.195,0.196,0.197,0.197,0.198,0.199,0.199,0.2,0.2,0.201,0.202
Albania,0.665,0.677,0.68,0.676,0.673,0.669,0.667,0.67,0.668,0.665,0.663,0.662,0.661,0.665,0.669,0.673,0.676,0.679,0.682,0.661,0.685,0.69,0.695,0.657,0.669,0.716,0.717,0.718,0.719,0.719,0.72,0.72,0.72,0.72,0.72,0.72,0.721,0.722,0.723,0.724,0.726
Algeria,0.106,0.107,0.109,0.111,0.113,0.115,0.118,0.123,0.128,0.133,0.138,0.144,0.15,0.157,0.163,0.17,0.177,0.185,0.193,0.201,0.201,0.212,0.224,0.236,0.217,0.215,0.213,0.215,0.217,0.218,0.22,0.222,0.223,0.224,0.226,0.227,0.228,0.23,0.231,0.233,0.235
Angola,0.87,0.87,0.869,0.868,0.869,0.87,0.871,0.872,0.873,0.874,0.875,0.875,0.874,0.875,0.875,0.877,0.877,0.878,0.879,0.879,0.879,0.879,0.879,0.88,0.88,0.881,0.882,0.882,0.883,0.883,0.884,0.884,0.885,0.885,0.886,0.886,0.887,0.887,0.888,0.888,0.889
Argentina,0.606,0.616,0.626,0.635,0.643,0.645,0.653,0.661,0.666,0.667,0.67,0.672,0.668,0.676,0.684,0.675,0.677,0.672,0.668,0.681,0.651,0.676,0.68,0.679,0.667,0.672,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.673,0.673
Armenia,0.613,0.615,0.619,0.623,0.627,0.632,0.636,0.64,0.644,0.647,0.649,0.649,0.649,0.648,0.646,0.645,0.643,0.64,0.638,0.636,0.642,0.677,0.676,0.671,0.66,0.641,0.64,0.643,0.647,0.651,0.656,0.661,0.666,0.672,0.678,0.684,0.689,0.695,0.7,0.704,0.708
Australia,0.668,0.671,0.673,0.672,0.678,0.69,0.69,0.693,0.693,0.694,0.705,0.711,0.716,0.725,0.719,0.737,0.742,0.748,0.754,0.756,0.752,0.756,0.756,0.758,0.759,0.765,0.768,0.771,0.773,0.775,0.777,0.779,0.782,0.784,0.786,0.789,0.791,0.794,0.796,0.798,0.801
Austria,0.638,0.649,0.669,0.689,0.717,0.734,0.738,0.742,0.753,0.763,0.768,0.77,0.792,0.797,0.787,0.795,0.801,0.805,0.809,0.821,0.824,0.832,0.84,0.845,0.845,0.844,0.849,0.851,0.854,0.856,0.858,0.861,0.863,0.866,0.869,0.871,0.874,0.877,0.879,0.882,0.885
Azerbaijan,0.704,0.705,0.712,0.72,0.729,0.734,0.735,0.734,0.732,0.731,0.751,0.769,0.786,0.802,0.816,0.83,0.842,0.854,0.848,0.84,0.83,0.817,0.826,0.83,0.828,0.83,0.829,0.83,0.83,0.831,0.832,0.834,0.836,0.838,0.842,0.845,0.849,0.854,0.858,0.863,0.868
Bahamas,0.787,0.802,0.815,0.828,0.839,0.843,0.846,0.849,0.855,0.86,0.864,0.868,0.873,0.875,0.879,0.884,0.887,0.889,0.891,0.893,0.897,0.899,0.901,0.903,0.904,0.904,0.904,0.906,0.908,0.91,0.913,0.915,0.917,0.919,0.921,0.923,0.925,0.928,0.93,0.932,0.934
Bahrain,0.356,0.359,0.368,0.376,0.383,0.391,0.4,0.408,0.417,0.425,0.433,0.442,0.451,0.461,0.471,0.481,0.491,0.501,0.512,0.523,0.534,0.529,0.529,0.529,0.529,0.529,0.533,0.536,0.54,0.544,0.547,0.548,0.55,0.551,0.553,0.556,0.558,0.561,0.564,0.567,0.571
Bangladesh,0.267,0.27,0.273,0.277,0.281,0.287,0.293,0.299,0.306,0.313,0.319,0.324,0.328,0.332,0.336,0.339,0.341,0.347,0.353,0.359,0.365,0.371,0.377,0.384,0.39,0.397,0.403,0.404,0.406,0.407,0.409,0.41,0.412,0.413,0.414,0.416,0.417,0.418,0.419,0.421,0.422
Barbados,0.833,0.812,0.83,0.842,0.852,0.862,0.859,0.856,0.857,0.858,0.86,0.862,0.863,0.865,0.87,0.873,0.875,0.878,0.88,0.882,0.873,0.876,0.871,0.875,0.873,0.876,0.874,0.876,0.877,0.878,0.88,0.881,0.882,0.884,0.885,0.886,0.888,0.889,0.89,0.891,0.893
Belarus,0.868,0.869,0.871,0.872,0.874,0.876,0.876,0.876,0.876,0.875,0.88,0.885,0.89,0.894,0.898,0.902,0.906,0.91,0.913,0.917,0.92,0.924,0.927,0.93,0.934,0.937,0.94,0.942,0.945,0.947,0.95,0.952,0.954,0.956,0.958,0.96,0.963,0.965,0.967,0.969,0.971
Belgium,0.607,0.63,0.642,0.663,0.671,0.68,0.687,0.696,0.703,0.727,0.73,0.706,0.718,0.73,0.742,0.768,0.77,0.78,0.79,0.792,0.804,0.787,0.792,0.797,0.806,0.802,0.799,0.801,0.804,0.807,0.81,0.813,0.816,0.819,0.822,0.825,0.828,0.83,0.833,0.836,0.839
Belize,0.395,0.403,0.411,0.415,0.414,0.42,0.427,0.44,0.454,0.467,0.481,0.494,0.508,0.521,0.535,0.548,0.562,0.575,0.589,0.602,0.616,0.638,0.659,0.659,0.658,0.657,0.655,0.659,0.663,0.667,0.672,0.676,0.68,0.684,0.689,0.693,0.697,0.701,0.706,0.71,0.714
Benin,0.616,0.616,0.616,0.628,0.639,0.651,0.662,0.673,0.684,0.695,0.706,0.716,0.726,0.746,0.765,0.783,0.8,0.816,0.831,0.844,0.857,0.834,0.836,0.839,0.841,0.844,0.846,0.849,0.853,0.857,0.86,0.864,0.868,0.871,0.875,0.879,0.882,0.886,0.89,0.894,0.897
Bhutan,0.639,0.636,0.635,0.634,0.633,0.631,0.641,0.651,0.662,0.675,0.69,0.713,0.735,0.755,0.771,0.783,0.791,0.797,0.801,0.803,0.793,0.782,0.821,0.75,0.7,0.75,0.748,0.752,0.756,0.76,0.764,0.768,0.772,0.775,0.779,0.783,0.788,0.792,0.796,0.8,0.805
Bolivia,0.655,0.66,0.665,0.671,0.677,0.683,0.688,0.694,0.701,0.708,0.714,0.72,0.726,0.732,0.737,0.743,0.748,0.722,0.745,0.745,0.74,0.736,0.72,0.713,0.722,0.664,0.669,0.67,0.672,0.673,0.674,0.676,0.677,0.678,0.679,0.681,0.682,0.683,0.685,0.686,0.688
Bosnia and Herzegovina,0.6,0.6,0.6,0.598,0.597,0.595,0.593,0.592,0.59,0.588,0.586,0.585,0.584,0.583,0.583,0.581,0.581,0.581,0.582,0.581,0.581,0.581,0.581,0.581,0.581,0.576,0.58,0.581,0.581,0.582,0.582,0.582,0.582,0.582,0.582,0.581,0.581,0.58,0.579,0.578,0.578
Botswana,0.563,0.572,0.58,0.589,0.598,0.609,0.617,0.627,0.637,0.631,0.624,0.639,0.653,0.666,0.68,0.693,0.705,0.711,0.717,0.722,0.679,0.723,0.763,0.799,0.802,0.804,0.807,0.809,0.812,0.814,0.816,0.819,0.821,0.823,0.825,0.827,0.829,0.831,0.833,0.834,0.836
Brazil,0.484,0.498,0.511,0.524,0.537,0.55,0.563,0.576,0.588,0.601,0.613,0.625,0.643,0.651,0.663,0.67,0.677,0.676,0.683,0.689,0.677,0.665,0.667,0.672,0.675,0.685,0.685,0.688,0.69,0.692,0.694,0.696,0.698,0.7,0.702,0.703,0.705,0.707,0.709,0.71,0.712
Brunei,0.56,0.565,0.578,0.591,0.604,0.616,0.627,0.637,0.648,0.658,0.668,0.677,0.684,0.691,0.698,0.705,0.712,0.719,0.726,0.733,0.74,0.747,0.754,0.76,0.767,0.766,0.763,0.766,0.768,0.77,0.772,0.775,0.777,0.779,0.782,0.784,0.787,0.79,0.792,0.795,0.798
Bulgaria,0.909,0.909,0.909,0.899,0.889,0.876,0.861,0.845,0.827,0.807,0.785,0.802,0.793,0.77,0.78,0.766,0.788,0.807,0.813,0.797,0.796,0.793,0.798,0.803,0.802,0.798,0.782,0.784,0.786,0.788,0.791,0.793,0.796,0.798,0.801,0.804,0.806,0.808,0.809,0.811,0.812
Burkina Faso,0.844,0.843,0.834,0.825,0.815,0.805,0.795,0.784,0.772,0.76,0.748,0.735,0.722,0.709,0.695,0.681,0.666,0.67,0.674,0.678,0.682,0.686,0.689,0.693,0.697,0.699,0.701,0.699,0.697,0.694,0.692,0.69,0.687,0.685,0.682,0.68,0.678,0.675,0.672,0.67,0.667
