country;four_regions;eight_regions;six_regions
Afghanistan;asia;asia_west;south_asia
Albania;europe;europe_east;europe_central_asia
Algeria;africa;africa_north;middle_east_north_africa
Andorra;europe;europe_west;europe_central_asia
Angola;africa;africa_sub_saharan;sub_saharan_africa
Antigua and Barbuda;americas;america_north;america
Argentina;americas;america_south;america
Armenia;europe;europe_east;europe_central_asia
Australia;asia;east_asia_pacific;east_asia_pacific
Austria;europe;europe_west;europe_central_asia
Azerbaijan;europe;europe_east;europe_central_asia
Bahamas;americas;america_north;america
Bahrain;asia;asia_west;middle_east_north_africa
Bangladesh;asia;asia_west;south_asia
Barbados;americas;america_north;america
Belarus;europe;europe_east;europe_central_asia
Belgium;europe;europe_west;europe_central_asia
Belize;americas;america_north;america
Benin;africa;africa_sub_saharan;sub_saharan_africa
Bhutan;asia;asia_west;south_asia
Bolivia;americas;america_south;america
Bosnia and Herzegovina;europe;europe_east;europe_central_asia
Botswana;africa;africa_sub_saharan;sub_saharan_africa
Brazil;americas;america_south;america
Brunei;asia;east_asia_pacific;east_asia_pacific
Bulgaria;europe;europe_east;europe_central_asia
Burkina Faso;africa;africa_sub_saharan;sub_saharan_africa
Burundi;africa;africa_sub_saharan;sub_saharan_africa
Cambodia;asia;east_asia_pacific;east_asia_pacific
Cameroon;africa;africa_sub_saharan;sub_saharan_africa
Canada;americas;america_north;america
Cape Verde;africa;africa_sub_saharan;sub_saharan_africa
Central African Republic;africa;africa_sub_saharan;sub_saharan_africa
Chad;africa;africa_sub_saharan;sub_saharan_africa
Chile;americas;america_south;america
China;asia;east_asia_pacific;east_asia_pacific
Colombia;americas;america_south;america
Comoros;africa;africa_sub_saharan;sub_saharan_africa
Congo Dem. Rep.;africa;africa_sub_saharan;sub_saharan_africa
Costa Rica;americas;america_north;america
Cote d'Ivoire;africa;africa_sub_saharan;sub_saharan_africa
Croatia;europe;europe_east;europe_central_asia
Cuba;americas;america_north;america
Cyprus;europe;europe_west;europe_central_asia
Czech Republic;europe;europe_east;europe_central_asia
Denmark;europe;europe_west;europe_central_asia
Djibouti;africa;africa_north;middle_east_north_africa
Dominica;americas;america_north;america
Dominican Republic;americas;america_north;america
Ecuador;americas;america_south;america
Egypt;africa;africa_north;middle_east_north_africa
El Salvador;americas;america_north;america
Equatorial Guinea;africa;africa_sub_saharan;sub_saharan_africa
Eritrea;africa;africa_sub_saharan;sub_saharan_africa
Estonia;europe;europe_east;europe_central_asia
Ethiopia;africa;africa_sub_saharan;sub_saharan_africa
Fiji;asia;east_asia_pacific;east_asia_pacific
Finland;europe;europe_east;europe_central_asia
France;europe;europe_west;europe_central_asia
Gabon;africa;africa_sub_saharan;sub_saharan_africa
Gambia;africa;africa_sub_saharan;sub_saharan_africa
Georgia;europe;europe_east;europe_central_asia
Germany;europe;europe_west;europe_central_asia
Ghana;africa;africa_sub_saharan;sub_saharan_africa
Greece;europe;europe_west;europe_central_asia
Grenada;americas;america_north;america
Guatemala;americas;america_north;america
Guinea;africa;africa_sub_saharan;sub_saharan_africa
Guinea-Bissau;africa;africa_sub_saharan;sub_saharan_africa
